# Sample vocabulary file
# Format: word,translation,example
hello,你好,"Hello, how are you? 你好，你好吗？"
world,世界,"Hello world! 你好世界！"
computer,计算机,"I use a computer every day. 我每天都用计算机。"
book,书,"I like reading books. 我喜欢读书。"
water,水,"I drink water every day. 我每天都喝水。"
food,食物,"I need to buy some food. 我需要买一些食物。"
home,家,"I want to go home. 我想回家。"
friend,朋友,"She is my friend. 她是我的朋友。"
work,工作,"I have to go to work. 我得去工作。"
car,汽车,"He has a new car. 他有一辆新车。"
time,时间,"Time is precious. 时间是宝贵的。"
day,天,"It's a beautiful day. 今天天气很好。"
night,夜晚,"The night is quiet. 夜晚很安静。"
morning,早晨,"Good morning! 早上好！"
afternoon,下午,"Let's meet in the afternoon. 让我们下午见面。"
evening,晚上,"I'll see you this evening. 今晚见。"
year,年,"Happy New Year! 新年快乐！"
month,月,"I'll visit next month. 我下个月来拜访。"
week,周,"I see him every week. 我每周都见他。"
school,学校,"I go to school every day. 我每天去学校。"
student,学生,"He is a good student. 他是个好学生。"
teacher,老师,"My teacher is kind. 我的老师很善良。"
family,家庭,"Family is important. 家庭很重要。"
love,爱,"I love my family. 我爱我的家人。"
happy,快乐,"I feel happy today. 我今天感到快乐。"
sad,伤心,"Don't be sad. 不要伤心。"
angry,生气,"I was angry yesterday. 我昨天很生气。"
excited,兴奋,"I'm excited about the trip. 我对这次旅行很兴奋。"
tired,累,"I am tired. 我累了。"
hungry,饿,"I'm hungry. 我饿了。"
thirsty,渴,"I'm thirsty. 戽了。"
